low_freq,high_freq,threshold,precision,recall,f1
0,256,20.0,0.885714260408164,0.7948717744904674,0.8378373166547897
0,256,30.0,0.9999999545454565,0.5641025496383962,0.7213109905942195
0,256,40.0,0.9999999473684238,0.4871794746877058,0.6551719506542762
0,256,50.0,0.999999941176474,0.4358974247205789,0.6071424126278409
0,256,60.0,0.9999999285714337,0.3589743497698885,0.5283014781063661
0,128,20.0,0.7254901818531337,0.9487179243918481,0.8222217128397996
0,128,30.0,0.8888888641975317,0.8205127994740309,0.8533328113780706
0,128,40.0,0.999999956521741,0.5897435746219597,0.7419349932365046
0,128,50.0,0.9999999500000024,0.5128204996712693,0.6779656305662228
0,128,60.0,0.999999941176474,0.4358974247205789,0.6071424126278409
0,64,20.0,0.49333332675555563,0.9487179243918481,0.6491223454912309
0,64,30.0,0.7115384478550298,0.9487179243918481,0.8131863055189521
0,64,40.0,0.8529411513840839,0.7435897245233405,0.7945200285234875
0,64,50.0,0.9599999616000015,0.6153845996055232,0.7499995004885827
0,64,60.0,0.9999999523809546,0.5384615246548328,0.6999995216669603
0,80,20.0,0.5606060521120295,0.9487179243918481,0.7047614243994015
0,80,30.0,0.7659574305115441,0.9230768994082847,0.8372087871825545
0,80,40.0,0.9666666344444454,0.7435897245233405,0.8405791942872022
0,80,50.0,0.999999956521741,0.5897435746219597,0.7419349932365046
0,80,60.0,0.9999999473684238,0.4871794746877058,0.6551719506542762
0,32,20.0,0.42045454067665294,0.9487179243918481,0.5826767306097699
0,32,30.0,0.7058823391003464,0.9230768994082847,0.7999994911114127
0,32,40.0,0.7999999771428579,0.717948699539777,0.7567562377651208
0,32,50.0,0.8064515868886585,0.6410256245890866,0.7142852004085044
0,32,60.0,0.9565216975425348,0.5641025496383962,0.7096769297609716
20,60,20.0,0.5362318762864946,0.9487179243918481,0.6851847110771272
20,60,30.0,0.7346938625572681,0.9230768994082847,0.8181813060436864
20,60,40.0,0.8823529152249143,0.769230749506904,0.8219172880468397
20,60,50.0,0.9285713954081645,0.6666666495726501,0.7761188932950255
20,60,60.0,0.999999956521741,0.5897435746219597,0.7419349932365046
30,60,20.0,0.5624999912109376,0.9230768994082847,0.6990286420966493
30,60,30.0,0.6938775368596422,0.8717948494411578,0.7727267616222162
30,60,40.0,0.8666666377777787,0.6666666495726501,0.7536226750685837
30,60,50.0,0.9629629272976693,0.6666666495726501,0.7878782805328951
30,60,60.0,0.999999956521741,0.5897435746219597,0.7419349932365046
30,80,20.0,0.6206896444708683,0.9230768994082847,0.7422675451166891
30,80,30.0,0.7727272551652897,0.8717948494411578,0.8192765905069083
30,80,40.0,0.96428567984694,0.6923076745562136,0.8059696386726038
30,80,50.0,0.9599999616000015,0.6153845996055232,0.7499995004885827
30,80,60.0,0.9999999444444475,0.4615384497041424,0.6315784930750841
20,80,20.0,0.6166666563888891,0.9487179243918481,0.7474742548722563
20,80,30.0,0.7446808352195567,0.8974358744247213,0.8139529737699074
20,80,40.0,0.9310344506539844,0.6923076745562136,0.7941171345158724
20,80,50.0,0.999999958333335,0.6153845996055232,0.7619042660622714
20,80,60.0,0.9999999473684238,0.4871794746877058,0.6551719506542762
30,70,20.0,0.58730157797934,0.9487179243918481,0.725489709535101
30,70,30.0,0.7954545273760335,0.8974358744247213,0.8433729754684324
30,70,40.0,0.899999970000001,0.6923076745562136,0.782608181474789
30,70,50.0,0.9615384245562144,0.6410256245890866,0.7692302655624293
30,70,60.0,0.9999999523809546,0.5384615246548328,0.6999995216669603
